,programTitle,infoCat,region,url,description,organization,contact,page
208,['Canadian Greenhouse Conference'],[],[' Across Canada '],['https://www.canadiangreenhouseconference.com/'],['\nConference for commercial growers of crops produced in controlled environments.\n'],['\nCanadian Greenhouse Conference\n'],"['\nP.O. Box 11, Jordan Station, ON, L0R 1S0\n1-905-892-9851\n1-888-437-6161\n\ninfo@canadiangreenhouseconference.com\n\n']",7
209,['Canadian Guernsey Association'],[],[' Across Canada '],['http://www.guernseycanada.ca/'],"['\nClassifies, registers, and provides resources on the Canadian Guernsey cattle industry.\n']",['\nCanadian Guernsey Association\n'],"['\n7660 Mill Road, Guelph, ON, N1H 6J1\n1-519-836-2141\n1-519-763-6582\n\ninfo@guernseycanada.ca\n\n']",7
210,['Canadian Health Food Association'],[],[' Across Canada '],['https://chfa.ca/en/'],['\nSupports and promotes natural health and organic products.\n'],['\nCanadian Health Food Association\n'],"['\n235 Yorkland Blvd, Suite 201, Toronto, ON, M2J 4Y8\n1-800-661-4510\n\ninfo@chfa.ca\n\n']",7
211,['Canadian Hemp Trade Alliance'],[],[' Across Canada '],['http://www.hemptrade.ca/'],['\nThe Canadian Hemp Trade Alliance (CHTA) is a national organization that promotes Canadian hemp and hemp products globally.\n'],['\nCanadian Hemp Trade Alliance\n'],['\n\nhttp://business.hemptrade.ca/info/\n\n'],7
212,['Canadian Hereford Association'],[],[' Across Canada '],['http://www.hereford.ca/'],"['\nRegisters and records the pedigrees of Hereford cattle, and promotes the breed across Canada.\n']",['\nCanadian Hereford Association\n'],"['\n5160 Skyline Way NE, Calgary, AB, T2E 6V1\n1-403-275-2662\n1-888-836-7242\n1-403-295-1333\n\nherefords@hereford.ca\n\n']",7
213,['Canadian Honey Council'],[],[' Across Canada '],['https://honeycouncil.ca/'],"['\nProvides a place where producers, packers, professionals, provincial associations, and government officials can speak and recommend action in the best interests of the Canadian honey bee industry.\n']",['\nCanadian Honey Council\n'],"['\nRod Scarlett\n#218 51519, R.R. 220, Sherwood Park, AB, T8E 1H1\n1-877-356-8935\n\nchc-ccm@honeycouncil.ca\n\n']",7
214,['Canadian Horticultural Council'],[],[' Across Canada '],['https://www.hortcouncil.ca/'],"['\nAdvocates on important issues that impact Canada’s horticultural sector, promotes healthy, safe and sustainable food, and ensures the continued success and growth of the industry.\n']",['\nCanadian Horticultural Council\n'],"['\nBev Appleby\n2200 Prince of Wales, Suite 102, Ottawa, ON K2E 6Z9\n1-613-226-4880\n1-613-226-4497\n\nadmin@hortcouncil.ca\n\n']",7
215,['Canadian Institute of Food Science & Technology'],[],[' Across Canada '],['https://www.cifst.ca/'],['\nRepresents and promotes the food and beverage sector in Canada.\n'],['\nCanadian Institute of Food Science & Technology\n'],"['\nTim Stover\n3390 South Service Road, Suite 305, Burlington, ON, L7N 3J5\n1-844-755-6679\n\ncifst@cifst.ca\n\n']",7
216,['Canadian Institutes of Health Research'],[],[' Across Canada '],['http://www.cihr-irsc.gc.ca/e/193.html'],['\nCollaborates with partners and researchers to support discoveries that improve health and strengthen the Canadian health care system.\n'],['\nCanadian Institutes of Health Research\n'],"['\n160 Elgin Street, 9th Floor, Ottawa, ON, K1A 0W9\n1-613-941-2672\n1-888-603-4178\n1-613-954-1800\n\nsupport-soutien@cihr-irsc.gc.ca\n\n']",7
217,['Canadian International Grains Institute'],[],[' Across Canada '],['https://cigi.ca/'],['\nCanadian International Grains Institute is a not-for profit institute providing pre-market and in-market technical support for the Canadian grain sector.\n'],['\nCanadian International Grains Institute\n'],['\n1-204-983-5344\n\nhttps://cigi.ca/contact_us/\n\n'],7
218,['Canadian International Innovation Program'],[],[' Across Canada '],['http://tradecommissioner.gc.ca/funding-financement/ciip-pcii/index.aspx?lang=eng'],"['\nSupport Canadian companies to commercialize technologies with international partners in countries where Canada has a Science, Technology and Innovation Agreement.\xa0\n']",['\nGovernment of Canada\n'],['\n\ninnovation@international.gc.ca\n\n'],7
219,['Canadian Limousin Association'],[],[' Across Canada '],['http://www.limousin.com/'],['\nRepresents and promotes the Limousin cattle industry across Canada.\n'],['\nCanadian Limousin Association\n'],"['\n#13, 4101-19 Street NE, Calgary, AB, T2E 7C4\n1-403-253-7309\n1-866-886-1605\n1-403-253-1704\n\nlimousin@limousin.com\n\n']",7
220,['Canadian Livestock Genetics Association'],[],[' Across Canada '],['http://www.clivegen.org/'],"['\nThe Canadian Livestock Genetics Association is a nationwide, not-for-profit trade association representing the market access and animal health interests of those involved in the sale, service and promotion of livestock genetics both domestically and internationally.\n']",['\nCanadian Livestock Genetics Association\n'],['\n\ninfo@clivegen.org\n\n1-618-290-1415\n'],7
221,['Canadian Livestock Records Corporation'],[],[' Across Canada '],['https://www.clrc.ca'],['\nSupports breeders maintain accurate animal pedigree records.\n'],['\nCanadian Livestock Records Corporation\n'],"['\n2417 Holly Lane, Suite 201, Ottawa, ON, K1V 0M7\n1-613-731-0704\n1-613-731-7110\n1-877-833-7110\n\nhttps://www.clrc.ca/form/contact-clrc-form\n\n']",7
222,['Canadian Llama and Alpaca Association'],[],[' Across Canada '],['https://www.claacanada.com/'],['\nIdentifies and registers new world camelids in Canada.\n'],['\nCanadian Llama and Alpaca Association\n'],"['\nP.O. Box 31032, Edmonton, AB, T5Z 3P3\n1-587-459-6709\n1-800-717-5262\n1-888-379-7326\n\ninfo@claacanada.com\n\n']",7
223,['Canadian Manufacturers & Exporters'],[],[' Across Canada '],['https://ns.cme-mec.ca/'],['\nRepresents and promotes the Canadian manufacturing industry.\n'],['\nCanadian Manufacturers & Exporters\n'],"['\nYvonne Lee\n270 Albert Street, Suite 402, Ottawa, ON, K1P 6E6\n1-905-672-3466\n1-905-672-1764\n\nyvonne.lee@cme-mec.ca\n\n']",7
224,['Canadian Meat Council'],[],[' Across Canada '],['https://cmc-cvc.com/'],['\nCMC is an Ottawa based trade association that advocates on behalf of its members – meat packers and processors operating establishments licensed under the Safe Food for Canadians Regulations.\xa0\n'],['\nCanadian Meat Council\n'],['\n1-613-729-3911\n1-613-729-4997\n\ninfo@cmc-cvc.com\n\n'],7
225,['Canadian Meat Goat Association'],[],[' Across Canada '],['https://canadianmeatgoat.com/'],"['\nThe Canadian Meat Goat Association supports the development of a profitable meat goat breeding stock and meat industry in Canada by providing animal registration, member education and industry promotion for the membership and by partnering in research and market expansion.\n']",['\nCanadian Meat Goat Association\n'],['\n1-418-315-0777\n1-418-315-0887\n\ninfo@canadianmeatgoat.com\n\n'],7
226,['Canadian Meat Processing Technology Development Challenge'],[],[' Across Canada '],['http://www.ic.gc.ca/eic/site/101.nsf/eng/00126.html'],"['\nProposed technologies must include advances in automation through robotics, artificial intelligence, or other forms of innovation that are scalable and suitable to each sub-sector within the processing industry, such as stunning, slaughtering; butchering; grading; cutting; and packaging.\n']","['\nInnovation, Science and Economic Development Canada\n']",['\n1-613-954-5031\n1-800-328-6189\n1-866-694-8389\n1-343-291-1913\n\nsolutions@canada.ca\n\n'],7
227,['Canadian Meat Science Association'],[],[' Across Canada '],['http://cmsa-ascv.ca/'],"['\nPromotes developments in meat science research, and the application of new technology in the meat industry.\n']",['\nCanadian Meat Science Association\n'],"['\nÈve Landry\nPlace de la Cité - Tour Belle Cour 450 - 2590, boulevard Laurier, Québec, QU, G1V 4M6\n\nadmin@cmsa-ascv.ca\n\n']",7
228,['Canadian Milking Shorthorn Society'],[],[' Across Canada '],['http://milkingshorthorn.ca'],['\nRepresents and promotes the Milking Shorthorn cattle industry in Canada.\n'],['\nCanadian Milking Shorthorn Society\n'],"['\n6A Barrett Street, Kensington, PE, C0B 1M0\n1-902-439-9386\n\nmilking.shorthorn@gmail.com\n\n']",7
229,['Canadian National Goat Federation'],[],[' Across Canada '],['http://cangoats.com/'],['\nRepresents and promotes goat producers in Canada.\n'],['\nCanadian National Goat Federation\n'],['\n\ninfo@cangoats.com\n\n1-888-839-4271\n'],7
230,['Canadian National Millers Association'],['Guides/Information'],[' Across Canada '],['http://www.canadianmillers.ca'],['\nRepresents the Canadian cereal grain milling industry.\n'],['\nCanadian National Millers Association\n'],"['\nGordon Harrison\n#303 236 Metcalfe Street, Ottawa, ON, K2P 1R3\n\ngharrison@canadianmillers.ca\n\n1-613-271-1112\n1-613-238-2293\n']",7
231,['Canadian Natural Products Association'],[],[' Across Canada '],['https://www.cnpa-acpn.ca/en/'],"['\nPromotes natural health products that are safe, effective and high quality.\n']",['\nCanadian Natural Products Association\n'],"['\n2030, boulevard Pie-IX, bureau 403, \u200bMontréal, QU, H1V 2C8\n1-450-967-2276\n1-514-355-4159\n\ninfo@cnpa-acpn.ca\n\n']",7
232,['Canadian Nursery Landscape Association'],[],[' Across Canada '],['https://cnla.ca/'],"['\nProvides resources for landscape professionals such as programs, initiatives, and alliances in order for members and stakeholders to become sustainable and successful.\n']",['\nCanadian Nursery Landscape Association\n'],"['\n7865 Fifth Line South, Milton, ON, L9T 2X8\n1-888-446-3499\n1-905-875-1840\n\ninfo@cnla-acpp.ca\n\n']",7
233,['Canadian Oilseed Processors Association'],[],[' Across Canada '],['https://copacanada.com/'],['\nCOPA is a federally incorporated non-profit industry association that works in partnership with the Canola Council of Canada (CCC) to represent the interests of oilseed processors in Canada.\n'],['\nCanadian Oilseed Processors Association\n'],"['\n1-204-956-9506\n1-204-956-9505\n', '\n\noffice@copacanada.com\n\n']",7
234,['Canadian Organic Growers'],[],[' Across Canada '],['https://www.cog.ca/'],"['\nOffers training and resources to raise awareness about organics and assist farmers and gardeners in adopting sustainable and commercially viable, organic production method.\n']",['\nCanadian Organic Growers\n'],"['\n100 Gloucester Street, Suite 410 Ottawa, ON K2P 0A4\n\noffice@cog.ca\n\n1-613-236-0743\n1-613-216-0741\n1-888-375-7383\n']",7
235,['Canadian Ornamental Horticulture Alliance'],[],[' Across Canada '],['http://coha-acho.ca/'],['\nThe Canadian Ornamental Horticulture Alliance is a working alliance of not-for-profit organizations that represent interests of Canada’s ornamental horticulture value chain.\xa0\n'],['\nCanadian Ornamental Horticulture Alliance\n'],"['\n6, 76 Main Street West, Grimsby, ON, L3M 1R6\n1-905-945-6791\n\nhttps://coha-acho.ca/contact-us/\n\n']",7
236,['Canadian Pari-Mutuel Agency'],[],[' Across Canada '],['https://agriculture.canada.ca/en/about-our-department/partners-and-agencies-agriculture-and-agri-food-canada/canadian-pari-mutuel-agency'],"['\nThe Canadian Pari-Mutuel Agency (CPMA) is a special operating agency within Agriculture and Agri-Food Canada that regulates and supervises pari-mutuel betting in Canada on horse races, thereby ensuring that pari-mutuel betting is conducted in a way that is fair to the public.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.cpmawebacpm.aac@agr.gc.ca\n\n1-613-759-6230\n1-613-759-6100\n1-800-268-8835\n'],7
237,['Canadian Pari-Mutuel Agency Equine Drug Control Program'],[],[' Across Canada '],['https://agriculture.canada.ca/en/about-our-department/partners-and-agencies-agriculture-and-agri-food-canada/canadian-pari-mutuel-agency/canadian-pari-mutuel-agency-equine-drug-control-program'],['\nThe Canadian Pari-Mutuel Agency (CPMA) Equine Drug Control Program is designed to deter the uncontrolled use of drugs or medication in race horses participating in pari-mutuel races.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.cpmawebacpm.aac@agr.gc.ca\n\n1-613-759-6230\n1-800-268-8835\n'],7
238,['Canadian Pastry Chefs Guild'],[],[' Across Canada '],['http://www.canadianpastrychefsguild.com/'],"['Promotes professional pastry chefs and others in the food industry, and promotes trade throughout Canada.']",['\nCanadian Pastry Chefs Guild\n'],['\nNyree Allen\n\ncanadianpastrychefsguild@gmail.com\n\n'],7
239,['Canadian Pork Council'],[],[' Across Canada '],['https://www.cpc-ccp.com/'],['\nRepresents and advocates for hog producers in Canada.\n'],['\nCanadian Pork Council\n'],"['\n900-220 Laurier Avenue W, Ottawa, ON, K1P 5Z9\n1-613-236-9239\n\ninfo@cpc-ccp.com\n\n']",7
240,['Canadian Potato Varieties'],['Guides/Information'],[' Across Canada '],['https://www.inspection.gc.ca/plants/potatoes/potato-varieties/eng/1299172436155/1299172577580'],['\nProvides descriptions of all potato varieties registered in Canada.\n'],['\nCanadian Food Inspection Agency (CFIA)\n'],"['\n1400 Merivale Road, Ottawa, ON, K1A 0Y9\n613-773-2342\n1-800-442-2342\n1-800-465-7735\n']",7
241,['Canadian Potato Variety Repository (AA)'],[],[],['http://www2.gnb.ca/content/gnb/en/services/services_renderer.2816.Canadian_Potato_Variety_Repository_(AA).html'],"[""\nThe repository's function is to serve as a source, as well as a point of entry, for material into the Canadian Seed Certification System.\n""]","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']","['\nContact SNB (Payment Only)\n\nsnb@snb.ca\n\n', '\nPlant Propagation Centre (Centre)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-2108\n1-888-622-4742\n']",7
242,['Canadian Poultry Research Council'],[],[' Across Canada '],['http://cp-rc.ca/'],['\nProvides leadership for poultry programs and research in Canada.\n'],['\nCanadian Poultry Research Council\n'],"['\n225 Metcalfe Street, Suite 314, Ottawa, ON, K2P 1P9\n\ninfo@cp-rc.ca\n\n1-613-714-9885\n1-613-714-4599\n1-833-888-1192\n']",7
243,['Canadian Produce Marketing Association'],[],[' Across Canada '],['https://www.cpma.ca/'],['\nRepresents companies who are active in marketing fresh fruits and vegetables from the farm to the dinner plate.\n'],['\nCanadian Produce Marketing Association\n'],"['\nRon Lemaire\n162 Cleopatra Drive, Ottawa, ON, K2G 5X2\n1-613-226-4187\n1-613-226-2984\n\nquestion@cpma.ca\n\n']",7
244,['Canadian Sablefish Association'],[],[' Across Canada '],['https://www.canadiansablefish.com/'],"['\nProtects and manages the Canadian sablefish industry, primarily in BC.\n']",['\nCanadian Sablefish Association\n'],"['\nPO Box 297, Ganges, Salt Spring Island, BC, V8K 2V9\n1-604-277-5773\n\ninfo@canadiansablefish.com\n\n']",7
245,['Canadian Seafood Stabilization Fund'],[],[],['https://iafbc.ca/canadian-seafood-stabilization-fund/'],['\nSupport the fish and seafood processing sector to manage the impact of COVID-19 and to prepare for economic recovery.\n'],['\nInvestment Agriculture Foundation of BC\n'],['\n250-940-6150\n\nfunding@iafbc.ca\n\n\nhttps://iafbc.ca/canadian-seafood-stabilization-fund-contact/\n\n'],7
246,"['Canadian Seafood Stabilization Fund (CSSF) in Alberta, Saskatchewan and Manitoba']",[],[],['https://www.wd-deo.gc.ca/eng/20072.asp'],['\nThe focus of the\xa0CSSF\xa0in Western Canada is to protect the health and safety of workers at fish and seafood process facilities so that facilities can remain open and in operation and food supply is not jeopardized. The program also aims to help fish and seafood processors adopt processes and new marketing tactics to suit changing consumer demands in the wake of the COVID-19 pandemic.\n'],['\nWestern Economic Diversification Canada\n'],"['\nEdmonton, Alberta\n\nwd.ab-ab.deo@canada.ca\n\n780-495-4557\n1-877-303-3388\n780-495-4164\n1-888-338-9378\n', '\nSaskatoon (Saskatchewan)\n\ninfo.sask@wd-deo.gc.ca\n\n306-975-5484\n1-877-303-3388\n306-975-4373\n1-888-338-9378\n', '\nWinnipeg, Manitoba\n\nwd.mb-mb.deo@canada.ca\n\n204-983-1280\n1-877-303-3388\n204-983-4472\n1-888-338-9378\n', '\nCalgary, Alberta\n1-888-338-9378\n1-877-303-3388\n403-292-5487\n\nwd.ab-ab.deo@canada.ca\n\n']",7
